fruns,last_avail_year,brand_name,brand_name_sanitized,franchisor,franchisor_sanitized,naics_code,naics_description
15766,2023,Cousins Maine Lobster,cousins maine lobster,CML Franchise LLC,cml franchise,722330,Mobile Food Services
10985,2023,Cousins Subs,cousins subs,"Cousins Subs Systems, Inc.",cousins subs systems,722513,Limited-Service Restaurants
10986,2017,Coustic-Glo,coustic glo,Coustic-Glo International,coustic glo,236118,Residential Remodelers
19294,2023,Couture Med Spa,couture med spa,"Couture Med Spa Franchising, LLC",couture med spa,812199,Other Personal Care Services
19014,2023,The Coven,coven,"The Coven Franchising, LLC",coven,531120,Lessors of Nonresidential Buildings (except Miniwarehouses)
10987,2023,Coverall,coverall,"Coverall North America, Inc.",northwest,561720,Janitorial Services
18746,2022,The Covery,covery,"R-Wellness, LLC",r wellness,446199,All Other Health and Personal Care Stores
15685,2021,Cowboy Chicken,cowboy chicken,"Cowboy Chicken Franchising, LP",cowboy chicken,722513,Limited-Service Restaurants
10988,2009,COWGIRL CAFE,cowgirl cafe,Cowgirl Cafe Franchise Corporation,cowgirl cafe,722511,Full-Service Restaurants
15083,2012,Cowgirl Clad Company,cowgirl clad,Cowgirl Clad Company Small Business Development Group LLC,cowgirl clad company small business development group,448150,Clothing Accessories Stores
10989,2009,COWGIRLS ESPRESSO,cowgirls espresso,"Cowgirls Franchising, LLC",cowgirls,722515,Snack and Nonalcoholic Beverage Bars
14641,2020,Coyote Canyon,coyote canyon,"Stockade Franchising, LP",stockade,722514,Cafeterias
16237,2020,Cozzoli's Pizzeria,cozzolis pizzeria,"Villa Pizza, LLC",villa pizza,722513,Limited-Service Restaurants
11032,2016,CP Cutters Point Coffee,cp cutters point coffee,"CP Coffee, Inc.",cp coffee,722515,Snack and Nonalcoholic Beverage Bars
18491,2022,CPA MOMS,cpa moms,"Makana Brands, LLC",makana brands,541213,Tax Preparation Services
10991,2010,CPRINT CERTIFIED PRINTERS INTERNATIONAL,cprint certified printers,"Crouser & Associates, Inc.",crouser associates,561439,Other Business Service Centers (including Copy Shops)
10993,2012,CPS-Creative Property Services--converted to Better Homes Realty,cps creative property services,"Avalar Network, Inc.",avalar network,531210,Offices of Real Estate Agents and Brokers
18840,2023,CR3 American Exteriors,cr3 american exteriors,Tectum Franchising LLC,tectum,236118,Residential Remodelers
17634,2022,Crab N Spice,crab n spice,Crab N Spice Group,crab n spice group,722513,Limited-Service Restaurants
10994,2007,THE CRACK TEAM,crack team,"Crack Team USA, Inc.",crack team,238320,Painting and Wall Covering Contractors
18875,2023,CRACK'D Kitchen & Coffee,crackd kitchen coffee,"CRACKDBRANDS, LLC",crackdbrands,722513,Limited-Service Restaurants
18951,2022,Craft Axe Throwing,craft axe throwing,"Craft Axe Throwing Franchise, LLC",craft axe throwing,713990,All Other Amusement and Recreation Industries
15671,2018,Craft Beer Cellar,craft beer cellar,"Craft Beer Stellar, LLC",craft beer stellar,445310,Beer
17437,2020,Crafthouse,crafthouse,Crafthouse Franchising LLC,crafthouse,722410,Drinking Places (Alcoholic Beverages)
19192,2023,Crafty Crab Seafood,crafty crab seafood,Crafty Crab Franchising LLC,crafty crab,722513,Limited-Service Restaurants
17068,2017,The Crafty Project,crafty project,"The Crafty Project Franchising, Inc.",crafty project,611710,Educational Support Services
15234,2013,Cranium Academy,cranium academy,"Cranium Academy Franchising, LLC",cranium academy,611710,Educational Support Services
10995,2023,Craters & Freighters,craters freighters,Craters & Freighters Franchise Company,craters freighters,484210,Used Household and Office Goods Moving
17309,2023,Crave,crave,"Crave Franchising, LLC",crave,722513,Limited-Service Restaurants
19040,2023,Crave Cookies,crave cookies,"Crave Cookies Franchising, LLC",crave cookies,722515,Snack and Nonalcoholic Beverage Bars
19203,2023,Crave Kitchen,crave kitchen,Swan Hospitality Co.,swan hospitality,492210,Local Messengers and Local Delivery
17714,2022,Crawl Space Ninja,crawl space ninja,Crawlspace Ninja Franchising LLC,crawlspace ninja,236118,Residential Remodelers
19408,2023,Crazy Delights,crazy delights,"Crazy Delights Group, LLC",crazy delights group,722515,Snack and Nonalcoholic Beverage Bars
19373,2023,The Crazy Mason Milkshake Bar,crazy mason milkshake bar,"Steele Management Group, LLC",steele management group,722515,Snack and Nonalcoholic Beverage Bars
10997,2022,Crazy Otto's Diner,crazy ottos diner,"Engine No. 9, Inc.",engine no 9,722511,Full-Service Restaurants
19015,2022,Crazy Running,crazy running,"Crazy Running Franchising, LLC",crazy running,713940,Fitness and Recreational Sports Centers
10765,2023,CRDN,crdn,"Certified Restoration Drycleaning Network, LLC",certified restoration drycleaning network,812320,Drycleaning and Laundry Services (except Coin-Operated)
16358,2015,Cre8 a Couch,cre8 a couch,"Cre8 a Couch Franchise Systems, Inc.",cre8 a couch,337121,Upholstered Household Furniture Manufacturing
14787,2020,CREAM,cream,"CREAM, Inc.",cream,722515,Snack and Nonalcoholic Beverage Bars
18681,2022,Creamberry,creamberry,"Creamberry Franchise, LLC",creamberry,722513,Limited-Service Restaurants
15793,2019,Creamistry,creamistry,"Creamistry Franchise, Inc.",creamistry,722515,Snack and Nonalcoholic Beverage Bars
15601,2013,Create A Cig,create a cig,"Create A Cig Franchising, LLC",create a cig,453991,Tobacco Stores
18086,2023,Creatif,creatif,Creatif Franchising LLC,creatif,611610,Fine Arts Schools
10998,2023,Creative Colors,creative colors,"Creative Colors International, Inc.",creative colors,811430,Footwear and Leather Goods Repair
11000,2002,CREATIVE PLAYTHINGS,creative playthings,Creative Playthings Franchising Corp.,creative playthings,442299,All Other Home Furnishings Stores
11001,2023,Creative World School,creative world school,"Creative World Schools Franchising Company, Inc.",creative world schools franchising company,624410,Child Day Care Services
11002,2001,CREATIVWORKS,creativworks,"CreativWorks, LLC",creativworks,541890,Other Services Related to Advertising
17593,2018,Crema,crema,"Crema Franchise, Inc.",crema,722515,Snack and Nonalcoholic Beverage Bars
11003,2005,CREMALITA,cremalita,"CremaLita Franchising, LLC",cremalita,722513,Limited-Service Restaurants
14817,2009,CREME DE LA CREPE,creme la crepe,"Creme De La Crepe Franchising, Inc.",creme de la crepe,722511,Full-Service Restaurants
16748,2023,Crepe Delicious Urban Cafe,crepe delicious urban cafe,"Crepe Delicious Holding USA, Inc.",crepe delicious holding,722515,Snack and Nonalcoholic Beverage Bars
19425,2023,CrepeAffaire,crepeaffaire,"CrepeAffaire Franchising US, Inc.",crepeaffaire,722515,Snack and Nonalcoholic Beverage Bars
11006,2012,CrepeMaker,crepemaker,"Oui Du Crepes, Inc.",oui du crepes,722515,Snack and Nonalcoholic Beverage Bars
17247,2017,CrepeTime!,crepetime,"CrepeTime!Franchises, LLC",crepetimefranchises,722320,Caterers
14440,2011,Crescendo--rebranded as VomFASS,crescendo,"Crescendo USA, LLC",crescendo,445299,All Other Specialty Food Stores
11007,2002,CRESCENT CITY BEIGNETS,crescent city beignets,"Crescent City Beignets, Inc.",crescent city beignets,311811,Retail Bakeries
11009,2023,Crestcom,crestcom,"Crestcom International, LLC",crestcom,611430,Professional and Management Development Training
16511,2014,Cricket Wireless,cricket wireless,Cricket Wireless LLC,cricket wireless,517210,Wireless Telecommunications Carriers (except Satellite)
18005,2023,Crimson Coward,crimson coward,"Crimson Coward, Inc.",crimson coward,722513,Limited-Service Restaurants
17289,2023,Crisp & Green,crisp green,Crisp & Green Franchising LLC,crisp green,722513,Limited-Service Restaurants
17041,2017,Cristophe,cristophe,"Cristophe Licensing, LLC",cristophe licensing,812111,Barber Shops
11010,2023,Criterium Engineers,criterium engineers,"Coast to Coast Engineering Services, Inc.",coast to coast engineering services,541350,Building Inspection Services
11011,2023,Critter Control,critter control,"Critter Control, Inc.",critter control,561710,Exterminating and Pest Control Services
14774,2023,Crooked Pint Ale House,crooked pint ale house,"Crooked Pint, LLC",crooked pint,722410,Drinking Places (Alcoholic Beverages)
17243,2018,Crossing the Jordan,crossing the jordan,Crossing the Jordan Franchise Corporation,crossing the jordan,453310,Used Merchandise Stores
11013,2023,Crown Trophy,crown trophy,"Crown Trophy, Inc.",crown trophy,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
16645,2017,Crown Vapors,crown vapors,"Crown Vapors Franchising, LLC",crown vapors,453991,Tobacco Stores
18222,2021,Crownco,crownco,Crownco Franchise System LLC,crownco,236118,Residential Remodelers
11014,2023,Crowne Plaza,crowne plaza,"Holiday Hospitality Franchising, LLC",holiday hospitality,721110,Hotels (except Casino Hotels) and Motels
16579,2015,Crowning Touch Senior Moving Services,crowning touch senior moving services,"Crowning Touch Senior Moving Services, Inc.",crowning touch senior moving services,484210,Used Household and Office Goods Moving
18716,2023,CRS,crs,"CRS Franchising, LLC",crs franchising,541611,Administrative Management and General Management Consulting Services
11015,2014,CRUISE HOLIDAYS,cruise holidays,"Travel Leaders Franchise Group, LLC",travel leaders franchise group,561520,Tour Operators
11016,2023,Cruise Planners,cruise planners,"CP Franchising, LLC",cp franchising,561510,Travel Agencies
11017,2023,CruiseOne,cruiseone,"CruiseOne, Inc.",cruiseone,561510,Travel Agencies
17483,2023,Cruisin' Tikis,cruisin tikis,"Cruisin' Tikis International, Inc.",cruisin tikis,532292,Recreational Goods Rental
15772,2015,Crumb & Get It Cookie Company,crumb get it cookie,Crumb Franchising LLC,crumb,722515,Snack and Nonalcoholic Beverage Bars
17657,2023,Crumbl Cookies,crumbl cookies,"Crumbl Franchising, LLC",crumbl,722515,Snack and Nonalcoholic Beverage Bars
11018,2023,Crunch,crunch,"Crunch Franchising, LLC",crunch,713940,Fitness and Recreational Sports Centers
18703,2023,CrunCheese Korean Hot Dog,cruncheese korean hot dog,"MHDGA, LLC",mhdga,722513,Limited-Service Restaurants
15769,2018,Crushed Red,crushed red,"Crushed Red Franchising, LLC",crushed red,722511,Full-Service Restaurants
17099,2023,Crushr,crushr,"Smash Brothers, LLC",smash brothers,562111,Solid Waste Collection
17140,2021,Crust Gourmet Pizza Bar,crust gourmet pizza bar,CGP Systems LLC,cgp systems,722513,Limited-Service Restaurants
18682,2022,Crust Pizza,crust pizza,"Crust Bros, LLC",crust bros,722513,Limited-Service Restaurants
16882,2020,CryoFit,cryofit,"CryoFit Americas, Inc.",cryofit americas,812199,Other Personal Care Services
18181,2020,Cryoluxe,cryoluxe,"Cryoluxe, LLC",cryoluxe,812199,Other Personal Care Services
17492,2019,Cryoshift,cryoshift,"Cryoshift Franchising, LLC",cryoshift,812199,Other Personal Care Services
17775,2018,Cryptopreneur,cryptopreneur,"Cryptopreneur, Inc.",cryptopreneur,522320,Financial Transactions Processing
11019,2011,CSI CORPORATE SECURITY & INVESTIGATIONS,csi corporate security investigations,"AVA Investigations, LLC",ava investigations,488999,All Other Support Activities for Transportation
17078,2020,CTRL V,ctrl v,CTRL V Partners LLC,ctrl v partners,713990,All Other Amusement and Recreation Industries
11020,2017,Cub Foods,cub foods,SuperValu Inc.,supervalu,445110,Supermarkets and Other Grocery (except Convenience) Stores
16890,2015,Cucinova,cucinova,"Sbarro Franchise Co., LLC",sbarro,722513,Limited-Service Restaurants
19063,2023,Culichi Town Restaurants,culichi town restaurants,Culichitown Franchise Corporation,culichitown,722511,Full-Service Restaurants
11021,2023,Culligan,culligan,Culligan International Company,culligan,454390,Other Direct Selling Establishments
19010,2022,Cultivate Food + Coffee,cultivate food coffee,Cultivate Franchise Corp,cultivate,722513,Limited-Service Restaurants
11022,2011,CULTIVE YOGURT,cultive yogurt,"Cultive Franchise, LLC",cultive,722513,Limited-Service Restaurants
11023,2023,Culver's ButterBurgers & Frozen Custard,culvers butterburgers frozen custard,"Culver Franchising System, LLC",culver franchising system,722513,Limited-Service Restaurants
19074,2023,Cupbop Korean BBQ In a Cup,cupbop korean bbq in a cup,"Cupbop Franchise, LLC",cupbop,722513,Limited-Service Restaurants
15930,2014,Cupcake Charlie's,cupcake charlies,"Cupcake Charlie's Franchising, LLC",cupcake charlies,445291,Baked Goods Stores
18818,2023,Cupcake Heaven,cupcake heaven,"Cupcake Heaven, LLC",cupcake heaven,722515,Snack and Nonalcoholic Beverage Bars
19407,2023,CUPP,cupp,CUPP US Franchise LLC,cupp,722515,Snack and Nonalcoholic Beverage Bars
18964,2023,Cuppa Yo,cuppa yo,"Cuppa Yo Franchising, LLC",cuppa yo,722515,Snack and Nonalcoholic Beverage Bars
11024,2016,Cuppy's Coffee,cuppys coffee,"Cuppy's Coffee Cafe, LLC",cuppys coffee cafe,722515,Snack and Nonalcoholic Beverage Bars
14476,2014,CUPS FROZEN YOGURT,cups frozen yogurt,"Cups, LLC",cups,722513,Limited-Service Restaurants
11025,2010,CURAFLO,curaflo,"CuraFlo Franchising, Inc.",curaflo,238220,Plumbing
16791,2018,Curb-Ease,curb ease,Curb-Ease Inc.,curb ease,238110,Poured Concrete Foundation and Structure Contractors
16270,2015,Curbside Commuters,curbside commuters,"Curbside Commuters Franchising, LLC",curbside commuters,485999,All Other Transit and Ground Passenger Transportation
17284,2018,Curie Learning,curie learning,"Curie Learning Franchising, LLC",curie learning,624410,Child Day Care Services
16017,2023,Curio Collection by Hilton,curio collection hilton,Hilton Franchise Holding LLC,hilton franchise holding,721110,Hotels (except Casino Hotels) and Motels
16979,2017,Current Meditation--currently not franchising,current meditation,Enlightened Ventures LLC,enlightened ventures,611699,All Other Miscellaneous Schools and Instruction
11026,2015,CurrentSAFE,currentsafe,"ABM Franchising Group, LLC",abm franchising group,238220,Plumbing
15712,2023,Currito,currito,"Airport & College Services, LLC",airport college services,722513,Limited-Service Restaurants
18628,2023,Curry Pizza House,curry pizza house,"CPH Global, LLC",cph global,722511,Full-Service Restaurants
17046,2023,Curry Up Now,curry up now,Francun Inc.,francun,722511,Full-Service Restaurants
11028,2007,THE CURTAIN EXCHANGE,curtain exchange,Curtain Exchange Franchise Operating Compa,curtain exchange franchise operating compa,442291,Window Treatment Stores
11029,1990,CURTIS MATHES,curtis mathes,"Enhanced Electronics, Inc.",enhanced electronics,443142,Electronics Stores
11030,2022,Curves,curves,"Curves NA, Inc.",curves na,713940,Fitness and Recreational Sports Centers
15624,2006,Cuts Fitness for Women,cuts fitness for women,"Cuts Fitness For Women, LLC",cuts fitness for women,713940,Fitness and Recreational Sports Centers
17438,2018,Cuzino's Family Kitchen,cuzinos family kitchen,"Cuzino's Franchising, LLC",cuzinos,722513,Limited-Service Restaurants
11033,1998,CYBER EXCHANGE,cyber exchange,Cyber Exchange Franchising Corporation,cyber exchange,425110,Business to Business Electronic Markets
18206,2023,Cyberbacker,cyberbacker,"Cyberbacker International, Inc.",cyberbacker,561110,Office Administrative Services
11034,2011,CYBERTARY,cybertary,"Cybertary Franchising, LLC",cybertary,541612,Human Resources Consulting Services
16139,2023,CycleBar,cyclebar,"CycleBar Franchising SPV, LLC",cyclebar,713940,Fitness and Recreational Sports Centers
17335,2018,CYL Sauna Studio - The Sweat House,cyl sauna studio sweat house,"The Sweat House Franchise, LLC",sweat house,812199,Other Personal Care Services
11066,2023,D-BAT,d bat,"D-BAT Academies, Inc.",d bat academies,451110,Sporting Goods Stores
14772,2016,D Pet Hotels,d pet hotels,"D Pet Hotels Franchise Group, LLC",d pet hotels franchise group,812910,Pet Care (except Veterinary) Services
19185,2023,D Spot Dessert Cafe,d spot dessert cafe,D Spot Franchising USA Inc.,d spot,722515,Snack and Nonalcoholic Beverage Bars
16236,2023,D1,d1,"D1 Sports Franchise, LLC",d1 sports,611620,Sports and Recreation Instruction
18752,2022,DaaBIN Store,daabin store,"DaaBIN Store Franchising, LLC",daabin store,452112,Discount Department Stores
19341,2023,Daboba,daboba,"Daboba USA, Inc.",daboba,722515,Snack and Nonalcoholic Beverage Bars
18621,2022,Dacha Beer Garden,dacha beer garden,"DBG Franchise, LLC",dbg franchise,722410,Drinking Places (Alcoholic Beverages)
18645,2023,Daddy's Chicken Shack,daddys chicken shack,"Daddy's Chicken Shack Franchising, LLC",daddys chicken shack,722513,Limited-Service Restaurants
18719,2023,Dae Gee,dae gee,"Dae Gee Franchising, LLC",dae gee,722513,Limited-Service Restaurants
19180,2023,Daela Cosmetic Tattoo,daela cosmetic tattoo,Daela Co.,daela,812199,Other Personal Care Services
11039,2007,Dagwood's Sandwich Shoppe,dagwoods sandwich shoppe,"Dagwood's Sandwich Shoppe, LLC",dagwoods sandwich shoppe,722511,Full-Service Restaurants
19300,2023,Daigle Cleaning Systems,daigle cleaning,"DCS Franchising, LLC",dcs franchising,561720,Janitorial Services
18635,2022,Daiichi Ramen,daiichi ramen,"Daiichi Ramen Franchise, LLC",daiichi ramen,722513,Limited-Service Restaurants
13841,2018,The Dailey Method,dailey method,"TDM Franchise Company, LLC",tdm franchise,713940,Fitness and Recreational Sports Centers
19045,2023,The Daily Dose Juice Bar,daily dose juice bar,"The Daily Dose, LLC",daily dose,722515,Snack and Nonalcoholic Beverage Bars
11040,2008,DAILY GRIND,daily grind,"Daily Grind Unwind, Inc.",daily grind unwind,722515,Snack and Nonalcoholic Beverage Bars
17321,2019,Daily Jam,daily jam,"DJ Franchising, LLC",dj franchising,722511,Full-Service Restaurants
11041,2011,DAILYTICKET,dailyticket,"DailyTicket, Inc.",dailyticket,541890,Other Services Related to Advertising
11042,2004,DAIRY BELLE FREEZE,dairy belle freeze,"Dairy Belle Freeze Development Company, In",dairy belle freeze development company in,722513,Limited-Service Restaurants
11044,2019,Dairy Mart,dairy mart,Mac's Convenience Stores LLC,macs convenience stores,445120,Convenience Stores
15735,2012,Daisy Drip Dry,daisy drip dry,"Daisy MFG CO, LLC",daisy mfg,448150,Clothing Accessories Stores
11047,2021,Dale Carnegie,dale carnegie,"Dale Carnegie & Associates, Inc.",dale carnegie associates,611430,Professional and Management Development Training
11048,2004,DAMON'S RIBS,damons ribs,"Damon's Restaurants, Inc.",damons restaurants,722410,Drinking Places (Alcoholic Beverages)
17997,2023,Dance Vision Studios,dance vision studios,"Dance Vision Franchise International, Inc.",dance vision,611610,Fine Arts Schools
11050,2023,D'Angelo Grilled Sandwiches,dangelo grilled sandwiches,"WC DA Franchising, LLC",wc da,722513,Limited-Service Restaurants
17030,2017,Dank's Wonder Emporium,danks wonder emporium,"DWE Franchise, LLC",dwe franchise,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
11053,1993,DAN'S FAN CITY,dans fan city,"Dan's Fan City, Inc.",dans fan city,811490,Other Personal and Household Goods Repair and Maintenance
11054,2019,Daphne's California Greek,daphnes california greek,"Mediterranean Cuisine Franchising Company, LLC",mediterranean cuisine franchising company,722513,Limited-Service Restaurants
16915,2022,The Dapper Doughnut,dapper doughnut,"Dapper Doughnut Franchise, LLC",dapper doughnut,722513,Limited-Service Restaurants
14770,2014,D'Arcy's Pint,darcys pint,"Hallie & Glenn, Inc.",hallie glenn,722511,Full-Service Restaurants
16196,2014,Dart Warz,dart warz,"Dart Warz, LLC",dart warz,713990,All Other Amusement and Recreation Industries
15398,2023,Dash In,dash in,"Dash In Food Stores, Inc.",dash in food stores,445120,Convenience Stores
11058,2023,Dashing Diva,dashing diva,Dashing Diva Franchise Corp.,dashing diva,812113,Nail Salons
17106,2017,Dat Dog,dat dog,"DDFranchise, LLC",ddfranchise,722513,Limited-Service Restaurants
18921,2021,Dat Jerk Caribbean Chargrill,dat jerk caribbean chargrill,"Dat Jerk Franchising, LLC",dat jerk,722513,Limited-Service Restaurants
11059,2014,DATA DOCTORS,data doctors,"DD Licensing, LLC",dd licensing,811212,Computer and Office Machine Repair and Maintenance
19361,2023,Daughter For Hire,daughter for hire,"Daughter for Hire Senior Care, LLC",daughter for hire senior care,621610,Home Health Care Services
11061,2006,DAVE'S HAWAIIAN ICE CREAM,daves hawaiian ice cream,Dave's Hawaiian Ice Cream,daves hawaiian ice cream,722513,Limited-Service Restaurants
17658,2023,Dave's Hot Chicken,daves hot chicken,"Dave's Hot Chicken Franchise Co., LLC",daves hot chicken,722513,Limited-Service Restaurants
11062,2023,DaVi Nails,davi nails,"DaVi Nails Salon and Spa, L.L.C.",davi nails salon spa,812113,Nail Salons
14627,2011,DAVICH OPTICAL,davich optical,"Davich Global, Inc.",davich global,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
15237,2015,David's Catfish House,davids catfish house,"David's Catfish House Family Holdings, L.L.C.",davids catfish house family holdings,722511,Full-Service Restaurants
18942,2023,D'Avolio,davolio,"D'Avolio Franchising, LLC",davolio,722513,Limited-Service Restaurants
18347,2022,Daybase,daybase,"Daybase Franchising, LLC",daybase,531120,Lessors of Nonresidential Buildings (except Miniwarehouses)
18946,2022,Daycation for Seniors,daycation for seniors,"DFS Franchising, Inc.",dfs franchising,624120,Services for the Elderly and Persons with Disabilities
11064,2023,Days Inn by Wyndham,days inn wyndham,"Days Inns Worldwide, Inc.",days inns worldwide,721110,Hotels (except Casino Hotels) and Motels
11065,2014,DAZBOG COFFEE,dazbog coffee,"Dazbog Coffee Franchising, LLC",dazbog coffee,722515,Snack and Nonalcoholic Beverage Bars
16692,2023,DCAP Insurance,dcap insurance,DCAP Management Corp.,dcap management,524126,Direct Property and Casualty Insurance Carriers
16262,2021,ddsmatch.com,ddsmatchcom,"DDSmatch Franchise, LLC",ddsmatch,541611,Administrative Management and General Management Consulting Services
15252,2013,De Novo Clinics,de novo clinics,"Love Life Franchise, LLC",love life,812191,Diet and Weight Reducing Centers
11067,2023,Dealer Specialties,dealer specialties,"Dealer Specialties International, Inc.",dealer specialties,441110,New Car Dealers
16891,2023,Deck Medic,deck medic,"Deck Medic, Inc.",deck medic,238350,Finish Carpentry Contractors
17270,2023,Deck Rescue,deck rescue,"Deck Rescue Franchising, LLC",deck rescue,561790,Other Services to Buildings and Dwellings
11069,2021,Deck The Walls,deck the walls,"Franchise Concepts, Inc.",franchise concepts,442299,All Other Home Furnishings Stores
17255,2019,Deckhand Detailing,deckhand detailing,"Mobile Detailing Franchise, LLC",mobile detailing,811192,Car Washes
11070,2019,Decor & You,decor you,"Decor & You, Inc.",decor you,541410,Interior Design Services
11071,2023,Decorating Den Interiors,decorating den interiors,"Decorating Den Systems, Inc.",decorating den systems,541410,Interior Design Services
18498,2021,Dee-O-Gee,dee o gee,"NPM Franchising, LLC",npm franchising,453910,Pet and Pet Supplies Stores
18501,2023,Deer Solution Repellent Service,deer solution repellent service,Deer Solution Franchising LLC,deer solution,561710,Exterminating and Pest Control Services
15557,2017,DEFINE body & mind,define body mind,"DEFINE Franchise, LLC",define,713940,Fitness and Recreational Sports Centers
17138,2022,DEFY,defy,"House of Trix, LLC",house trix,713990,All Other Amusement and Recreation Industries
19442,2023,Degas Dance Studio,degas dance studio,Degas Dance Franchise B.V.,degas dance franchise bv,611610,Fine Arts Schools
11035,2008,D.E.I.,dei,D.E.I. Franchise Systems Inc.,dei franchise,541810,Advertising Agencies
16517,2023,Deka Lash,deka lash,"DL Franchising, LLC",dl franchising,812199,Other Personal Care Services
11075,2023,Del Taco,del taco,Del Taco LLC,del taco,722513,Limited-Service Restaurants
11076,2022,Deli Delicious,deli delicious,"Deli Delicious Franchising, Inc.",deli delicious,722513,Limited-Service Restaurants
11077,2006,DELI ZONE,deli zone,"Diamond Central, LLC",diamond central,722513,Limited-Service Restaurants
18704,2023,Delish Delivered,delish delivered,Delish Franchising LLC,delish,722330,Mobile Food Services
15444,2021,Delivery.com,deliverycom,"Delivery.com Franchising, LLC",deliverycom,492210,Local Messengers and Local Delivery
11078,2022,Del's Lemonade,dels lemonade,"Del's Lemonade & Refreshments, Inc.",dels lemonade refreshments,722515,Snack and Nonalcoholic Beverage Bars
18320,2023,Del's Popcorn Shop,dels popcorn shop,"Del's Popcorn Shop Development, LLC",dels popcorn shop development,722515,Snack and Nonalcoholic Beverage Bars
16261,2023,Delta Hotels by Marriott,delta hotels marriott,"Marriott International, Inc.",marriott,721110,Hotels (except Casino Hotels) and Motels
16877,2019,Delta Life Fitness,delta life fitness,"Delta Life Franchising, LLC",delta life,713940,Fitness and Recreational Sports Centers
11079,2019,Delta Restoration Services,delta restoration services,"Delta Development Group, LLC",delta development group,562910,Remediation Services
18849,2023,Delux Transportation Services,delux transportation services,"Delux Franchise, Inc.",delux,485320,Limousine Service
16217,2023,Denino's Pizzeria & Tavern,deninos pizzeria tavern,"Denino's Franchising, LLC",deninos,722511,Full-Service Restaurants
11080,2009,DENIZEN HOTELS,denizen hotels,"HLT Lifestyle Franchise, LLC",hlt lifestyle,721110,Hotels (except Casino Hotels) and Motels
11081,2023,Denny's,dennys,"DFO, LLC",dfo llc,722511,Full-Service Restaurants
11082,2014,DENT DOCTOR,dent doctor,"Dent Doctor, Inc.",dent doctor,811121,Automotive Body
11084,2019,Dental Fix,dental fix,"Dental Fix Rx, LLC",dental fix rx,811219,Other Electronic and Precision Equipment Repair and Maintenance
14629,2014,DENTAL SLEEP SOLUTIONS,dental sleep solutions,Dental Sleep Slolution Franchising LLC,dental sleep slolution,621210,Offices of Dentists
11085,2014,DENTAL SUPPORT PLUS,dental support plus,"Dental  Support Plus Franchise, LLC",dental support plus,446199,All Other Health and Personal Care Stores
16140,2016,DentalSense,dentalsense,"DentalSense, LLC",dentalsense,621210,Offices of Dentists
11086,2022,The Dentist's Choice,dentists choice,"The Dentist's Choice, Inc.",dentists choice,811219,Other Electronic and Precision Equipment Repair and Maintenance
11087,2007,DENTPRO,dentpro,"DentPro Car Care Franchise Services, Inc.",dentpro car care franchise services,424950,Paint
14901,2016,Dentsmart,dentsmart,"Dentsmart, Inc.",dentsmart,424950,Paint
11088,2006,DERMACARE LASER & SKIN CARE CLINCS,dermacare laser skin care clincs,"DLC Dermacare, LLC",dlc dermacare,812112,Beauty Salons
18687,2023,dermani MEDSPA,dermani medspa,dermani MEDSPA Franchising LLC,dermani medspa,812199,Other Personal Care Services
15590,2014,Dermatone Spa,dermatone spa,"Dermatone Franchise Company, LLC",dermatone,812112,Beauty Salons
11089,2014,"DES Staffing Services, Inc.",des staffing services,"DES Franchise, Inc.",des franchise,561311,Employment Placement Agencies
11090,2007,DESERT MOON CAFE',desert moon cafe,Desert Moon Cafe Franchise Corp.,desert moon cafe,722511,Full-Service Restaurants
11091,2023,Desert Sun Tanning Salons,desert sun tanning salons,DST Franchising LLC,dst franchising,812199,Other Personal Care Services
11092,2007,DESIGNED DINNERS,designed dinners,"Chefrocks, Inc.",chefrocks,445299,All Other Specialty Food Stores
19105,2023,The Designery,designery,"A1 Kitchen & Bath Franchising, LLC",a1 kitchen bath,236118,Residential Remodelers
14478,2011,DESJOYAUX POOLS,desjoyaux pools,"Desjoyaux Pools USA, LLC",desjoyaux pools,236115,New Single-Family Housing Construction (except For-Sale Builders)
15879,2017,Dessange,dessange,"Dessange Franchising, LLC",dessange,812112,Beauty Salons
17325,2020,Dessert'D Organic Bake Shop,dessertd organic bake shop,"Dessert'D Organic Bake Shop, LLC",dessertd organic bake shop,722515,Snack and Nonalcoholic Beverage Bars
14887,2023,Destination Athlete,destination athlete,"Destination Athlete, LLC",destination athlete,451110,Sporting Goods Stores
17648,2023,Destination by Hyatt,destination hyatt,"Hyatt Franchising, L.L.C.",hyatt,721110,Hotels (except Casino Hotels) and Motels
13170,2023,Destination Map,destination map,"Discovery Map International, Inc.",discovery map,511120,Periodical Publishers
11093,2016,The Detail Difference,detail difference,"The Detail Difference, Inc.",detail difference,238330,Flooring Contractors
16441,2023,Detail Garage,detail garage,"Detail Garage, LLC",detail garage,441310,Automotive Parts and Accessories Stores
14993,2021,DetailXPerts,detailxperts,"DetailXPerts Franchise Systems, LLC",detailxperts,811192,Car Washes
15938,2014,Dethrone Basecamp,dethrone basecamp,"Dethrone Franchise, LLC",dethrone,713940,Fitness and Recreational Sports Centers
16954,2017,Detroit Kid City,detroit kid city,"Detroit Kid City Franchise, LLC",detroit kid city,624110,Child and Youth Services
